gameid,league,year,date,game,playoffs,side,team,gamelength,result,teamkills,teamdeaths,totalgold,enemy_gold,enemy_team
ESPORTSTMNT02/1286918,LCK,2020,2/29/2020 7:44,1,0,Blue,KT Rolster,2065,1,16,10,62548,54967,Hanwha Life Esports
ESPORTSTMNT02/1286918,LCK,2020,2/29/2020 7:44,1,0,Red,Hanwha Life Esports,2065,0,10,16,54967,62548,KT Rolster
ESPORTSTMNT03/1330989,OPL,2020,2/29/2020 7:46,1,0,Blue,Legacy Esports,1499,1,13,4,45886,36962,MAMMOTH
ESPORTSTMNT03/1330989,OPL,2020,2/29/2020 7:46,1,0,Red,MAMMOTH,1499,0,4,13,36962,45886,Legacy Esports
ESPORTSTMNT02/1286938,LCK,2020,2/29/2020 8:46,2,0,Blue,Hanwha Life Esports,1851,0,2,10,47752,59853,KT Rolster
ESPORTSTMNT02/1286938,LCK,2020,2/29/2020 8:46,2,0,Red,KT Rolster,1851,1,10,2,59853,47752,Hanwha Life Esports
ESPORTSTMNT02/1286962,LCK,2020,2/29/2020 9:46,1,0,Blue,DAMWON Gaming,1546,1,13,4,51224,38503,Afreeca Freecs
ESPORTSTMNT02/1286962,LCK,2020,2/29/2020 9:46,1,0,Red,Afreeca Freecs,1546,0,4,13,38503,51224,DAMWON Gaming
ESPORTSTMNT02/1286964,VCS,2020,2/29/2020 9:49,1,0,Blue,CERBERUS Esports,1747,1,11,3,55933,42646,EVOS Esports
ESPORTSTMNT02/1286964,VCS,2020,2/29/2020 9:49,1,0,Red,EVOS Esports,1747,0,3,11,42646,55933,CERBERUS Esports
ESPORTSTMNT02/1286996,PCS,2020,2/29/2020 10:25,1,0,Blue,ahq eSports Club,1961,1,10,6,57885,51545,J Team
ESPORTSTMNT02/1286996,PCS,2020,2/29/2020 10:25,1,0,Red,J Team,1961,0,6,11,51545,57885,ahq eSports Club
ESPORTSTMNT06/1170139,TCL,2020,2/29/2020 10:31,1,0,Blue,Team AURORA,1524,0,5,15,37089,49589,Galakticos
ESPORTSTMNT06/1170139,TCL,2020,2/29/2020 10:31,1,0,Red,Galakticos,1524,1,15,5,49589,37089,Team AURORA
ESPORTSTMNT02/1287011,VCS,2020,2/29/2020 10:47,2,0,Blue,EVOS Esports,1979,0,9,18,56212,58381,CERBERUS Esports
ESPORTSTMNT02/1287011,VCS,2020,2/29/2020 10:47,2,0,Red,CERBERUS Esports,1979,1,18,9,58381,56212,EVOS Esports
ESPORTSTMNT02/1287017,PCS,2020,2/29/2020 11:22,1,0,Blue,Berjaya Dragons,1967,1,15,5,57960,48800,Resurgence
ESPORTSTMNT02/1287017,PCS,2020,2/29/2020 11:22,1,0,Red,Resurgence,1967,0,5,15,48800,57960,Berjaya Dragons
ESPORTSTMNT06/1170154,TCL,2020,2/29/2020 11:31,1,0,Blue,5 Ronin,1747,1,12,3,53643,41907,Beşiktaş Esports
ESPORTSTMNT06/1170154,TCL,2020,2/29/2020 11:31,1,0,Red,Beşiktaş Esports,1747,0,3,12,41907,53643,5 Ronin
ESPORTSTMNT02/1287022,LCK,2020,2/29/2020 11:36,2,0,Blue,Afreeca Freecs,1804,1,20,12,58344,52126,DAMWON Gaming
ESPORTSTMNT02/1287022,LCK,2020,2/29/2020 11:36,2,0,Red,DAMWON Gaming,1804,0,12,20,52126,58344,Afreeca Freecs
ESPORTSTMNT02/1287039,VCS,2020,2/29/2020 12:03,1,0,Blue,Saigon Buffalo,1781,0,8,24,45026,59772,GAM Esports
ESPORTSTMNT02/1287039,VCS,2020,2/29/2020 12:03,1,0,Red,GAM Esports,1781,1,24,8,59772,45026,Saigon Buffalo
ESPORTSTMNT06/1170171,TCL,2020,2/29/2020 12:27,1,0,Blue,Dark Passage,1427,1,18,5,46800,33896,Royal Youth
ESPORTSTMNT06/1170171,TCL,2020,2/29/2020 12:27,1,0,Red,Royal Youth,1427,0,5,18,33896,46800,Dark Passage
ESPORTSTMNT02/1287048,LCK,2020,2/29/2020 12:31,3,0,Blue,DAMWON Gaming,2539,0,10,14,67948,74870,Afreeca Freecs
ESPORTSTMNT02/1287048,LCK,2020,2/29/2020 12:31,3,0,Red,Afreeca Freecs,2539,1,14,10,74870,67948,DAMWON Gaming
ESPORTSTMNT02/1287051,PCS,2020,2/29/2020 12:36,1,0,Blue,Liyab Esports,2222,1,22,5,69554,53660,Hong Kong Attitude
ESPORTSTMNT02/1287051,PCS,2020,2/29/2020 12:36,1,0,Red,Hong Kong Attitude,2222,0,5,22,53660,69554,Liyab Esports
ESPORTSTMNT06/1170178,LCL,2020,2/29/2020 12:47,1,0,Blue,Elements Pro Gaming,2113,0,5,15,52863,62565,RoX
ESPORTSTMNT06/1170178,LCL,2020,2/29/2020 12:47,1,0,Red,RoX,2113,1,15,6,62565,52863,Elements Pro Gaming
ESPORTSTMNT02/1287054,VCS,2020,2/29/2020 13:13,2,0,Blue,GAM Esports,1444,1,19,8,50842,35829,Saigon Buffalo
ESPORTSTMNT02/1287054,VCS,2020,2/29/2020 13:13,2,0,Red,Saigon Buffalo,1444,0,8,19,35829,50842,GAM Esports
ESPORTSTMNT06/1170184,TCL,2020,2/29/2020 13:18,1,0,Blue,İstanbul Wildcats,1960,0,7,19,50538,66225,1907 Fenerbahçe Esports
ESPORTSTMNT06/1170184,TCL,2020,2/29/2020 13:18,1,0,Red,1907 Fenerbahçe Esports,1960,1,19,7,66225,50538,İstanbul Wildcats
ESPORTSTMNT02/1287064,PCS,2020,2/29/2020 13:46,1,0,Blue,Resurgence,1487,0,4,17,34994,48522,Machi Esports
ESPORTSTMNT02/1287064,PCS,2020,2/29/2020 13:46,1,0,Red,Machi Esports,1487,1,17,4,48522,34994,Resurgence
ESPORTSTMNT06/1170194,LCL,2020,2/29/2020 14:11,1,0,Blue,CrowCrowd,3062,1,15,16,79366,78413,Dragon Army
ESPORTSTMNT06/1170194,LCL,2020,2/29/2020 14:11,1,0,Red,Dragon Army,3062,0,16,15,78413,79366,CrowCrowd
ESPORTSTMNT02/1287073,PCS,2020,2/29/2020 14:42,1,0,Blue,Talon Esports,2228,1,8,6,64573,63573,Nova Esports
ESPORTSTMNT02/1287073,PCS,2020,2/29/2020 14:42,1,0,Red,Nova Esports,2228,0,6,8,63573,64573,Talon Esports
ESPORTSTMNT06/1170201,LEC,2020,2/29/2020 15:16,1,0,Blue,SK Gaming,1992,0,4,13,56277,63421,Misfits Gaming
ESPORTSTMNT06/1170201,LEC,2020,2/29/2020 15:16,1,0,Red,Misfits Gaming,1992,1,13,4,63421,56277,SK Gaming
ESPORTSTMNT06/1170202,LCL,2020,2/29/2020 15:36,1,0,Blue,M19,2589,0,21,18,72056,74384,Vega Squadron
ESPORTSTMNT06/1170202,LCL,2020,2/29/2020 15:36,1,0,Red,Vega Squadron,2589,1,18,21,74384,72056,M19
ESPORTSTMNT03/1331071,CBLOL,2020,2/29/2020 16:03,1,0,Blue,paiN Gaming,2043,1,7,1,60451,54369,FURIA Esports
ESPORTSTMNT03/1331071,CBLOL,2020,2/29/2020 16:03,1,0,Red,FURIA Esports,2043,0,1,7,54369,60451,paiN Gaming
ESPORTSTMNT06/1170218,LCL,2020,2/29/2020 16:43,1,0,Blue,Gambit Esports,1980,0,11,17,49261,57340,Unicorns Of Love.CIS
ESPORTSTMNT06/1170218,LCL,2020,2/29/2020 16:43,1,0,Red,Unicorns Of Love.CIS,1980,1,17,11,57340,49261,Gambit Esports
ESPORTSTMNT06/1170219,LEC,2020,2/29/2020 16:44,1,0,Blue,MAD Lions,1726,0,9,17,47245,57284,Excel Esports
ESPORTSTMNT06/1170219,LEC,2020,2/29/2020 16:44,1,0,Red,Excel Esports,1726,1,17,9,57284,47245,MAD Lions
ESPORTSTMNT03/1331083,CBLOL,2020,2/29/2020 17:01,1,0,Blue,Vivo Keyd,2315,1,25,13,69370,58724,KaBuM! e-Sports
ESPORTSTMNT03/1331083,CBLOL,2020,2/29/2020 17:01,1,0,Red,KaBuM! e-Sports,2315,0,13,25,58724,69370,Vivo Keyd
ESPORTSTMNT06/1170225,LEC,2020,2/29/2020 17:33,1,0,Blue,Fnatic,1885,1,19,10,61630,54496,FC Schalke 04 Esports
ESPORTSTMNT06/1170225,LEC,2020,2/29/2020 17:33,1,0,Red,FC Schalke 04 Esports,1885,0,10,19,54496,61630,Fnatic
ESPORTSTMNT03/1331108,CBLOL,2020,2/29/2020 18:05,1,0,Blue,Flamengo Esports,2221,1,21,15,69011,60019,INTZ
ESPORTSTMNT03/1331108,CBLOL,2020,2/29/2020 18:05,1,0,Red,INTZ,2221,0,15,21,60019,69011,Flamengo Esports
ESPORTSTMNT06/1170233,LEC,2020,2/29/2020 18:31,1,0,Blue,Rogue,2062,0,4,10,48922,60817,Origen
ESPORTSTMNT06/1170233,LEC,2020,2/29/2020 18:31,1,0,Red,Origen,2062,1,10,4,60817,48922,Rogue
ESPORTSTMNT03/1331130,CBLOL,2020,2/29/2020 19:03,1,0,Blue,Prodigy Esports,2340,1,19,12,71664,61512,Redemption eSports Porto Alegre
ESPORTSTMNT03/1331130,CBLOL,2020,2/29/2020 19:03,1,0,Red,Redemption eSports Porto Alegre,2340,0,11,19,61512,71664,Prodigy Esports
ESPORTSTMNT06/1170241,LEC,2020,2/29/2020 19:29,1,0,Blue,G2 Esports,1621,1,21,11,51853,44724,Team Vitality
ESPORTSTMNT06/1170241,LEC,2020,2/29/2020 19:29,1,0,Red,Team Vitality,1621,0,11,21,44724,51853,G2 Esports
ESPORTSTMNT03/1321158,LLA,2020,2/29/2020 20:22,1,0,Blue,Rainbow7,2733,0,9,10,75583,81267,All Knights
ESPORTSTMNT03/1321158,LLA,2020,2/29/2020 20:22,1,0,Red,All Knights,2733,1,10,9,81267,75583,Rainbow7
ESPORTSTMNT03/1331160,LCS,2020,2/29/2020 21:26,1,0,Blue,Cloud9,2118,1,14,7,65469,55512,FlyQuest
ESPORTSTMNT03/1331160,LCS,2020,2/29/2020 21:26,1,0,Red,FlyQuest,2118,0,6,14,55512,65469,Cloud9
ESPORTSTMNT03/1321188,LLA,2020,2/29/2020 21:56,1,0,Blue,Furious Gaming,2468,0,2,7,61449,72058,Infinity Esports
ESPORTSTMNT03/1321188,LLA,2020,2/29/2020 21:56,1,0,Red,Infinity Esports,2468,1,7,2,72058,61449,Furious Gaming
ESPORTSTMNT03/1331180,LCS,2020,2/29/2020 22:47,1,0,Blue,Team Liquid,1805,1,13,1,55829,42886,TSM
ESPORTSTMNT03/1331180,LCS,2020,2/29/2020 22:47,1,0,Red,TSM,1805,0,1,13,42886,55829,Team Liquid
ESPORTSTMNT03/1321204,LLA,2020,2/29/2020 23:06,1,0,Blue,Azules Esports,1828,0,3,13,47528,57961,XTEN Esports
ESPORTSTMNT03/1321204,LLA,2020,2/29/2020 23:06,1,0,Red,XTEN Esports,1828,1,13,3,57961,47528,Azules Esports
ESPORTSTMNT03/1331198,LCS,2020,2/29/2020 23:45,1,0,Blue,Golden Guardians,1820,1,10,0,55294,43579,Immortals
ESPORTSTMNT03/1331198,LCS,2020,2/29/2020 23:45,1,0,Red,Immortals,1820,0,0,10,43579,55294,Golden Guardians
ESPORTSTMNT03/1321216,LLA,2020,2/29/2020 23:59,1,0,Blue,Isurus,2144,1,15,6,66301,57866,Pixel Esports Club
ESPORTSTMNT03/1321216,LLA,2020,2/29/2020 23:59,1,0,Red,Pixel Esports Club,2144,0,6,15,57866,66301,Isurus
ESPORTSTMNT03/1331220,LCS,2020,3/1/2020 0:37,1,0,Blue,100 Thieves,1926,1,24,10,61175,49305,Evil Geniuses
ESPORTSTMNT03/1331220,LCS,2020,3/1/2020 0:37,1,0,Red,Evil Geniuses,1926,0,10,24,49305,61175,100 Thieves
NA1/3310016867,UPL,2020,3/1/2020 1:10,1,0,Blue,Vegas Inferno,2394,1,31,23,75837,70612,ANEW Academy
NA1/3310016867,UPL,2020,3/1/2020 1:10,1,0,Red,ANEW Academy,2394,0,23,31,70612,75837,Vegas Inferno
ESPORTSTMNT03/1331234,LCS.A,2020,3/1/2020 1:43,1,0,Blue,Team Liquid Academy,1594,1,16,6,51309,42247,100 Thieves Academy
ESPORTSTMNT03/1331234,LCS.A,2020,3/1/2020 1:43,1,0,Red,100 Thieves Academy,1594,0,6,16,42247,51309,Team Liquid Academy
NA1/3310017432,UPL,2020,3/1/2020 2:38,2,0,Blue,ANEW Academy,1631,1,21,20,55001,45185,Vegas Inferno
NA1/3310017432,UPL,2020,3/1/2020 2:38,2,0,Red,Vegas Inferno,1631,0,20,21,45185,55001,ANEW Academy
ESPORTSTMNT03/1331240,LJL,2020,3/1/2020 3:23,1,0,Blue,AXIZ,2216,1,13,5,64886,58088,Rascal Jester
ESPORTSTMNT03/1331240,LJL,2020,3/1/2020 3:23,1,0,Red,Rascal Jester,2216,0,5,13,58088,64886,AXIZ
NA1/3309339462,UPL,2020,3/1/2020 3:26,3,0,Blue,Vegas Inferno,1718,0,11,19,43968,54422,ANEW Academy
NA1/3309339462,UPL,2020,3/1/2020 3:26,3,0,Red,ANEW Academy,1718,1,19,11,54422,43968,Vegas Inferno
ESPORTSTMNT03/1331262,LJL,2020,3/1/2020 5:13,1,0,Blue,Rascal Jester,2605,1,15,19,74146,71844,Burning Core
ESPORTSTMNT03/1331262,LJL,2020,3/1/2020 5:13,1,0,Red,Burning Core,2605,0,19,15,71844,74146,Rascal Jester
ESPORTSTMNT02/1287168,LCK,2020,3/1/2020 6:16,1,0,Blue,Gen.G,1687,1,13,3,54621,41286,SeolHaeOne Prince
ESPORTSTMNT02/1287168,LCK,2020,3/1/2020 6:16,1,0,Red,SeolHaeOne Prince,1687,0,3,13,41286,54621,Gen.G
ESPORTSTMNT03/1331278,LJL,2020,3/1/2020 6:34,1,0,Blue,Burning Core,1811,0,6,14,45090,53007,DetonatioN FocusMe
ESPORTSTMNT03/1331278,LJL,2020,3/1/2020 6:34,1,0,Red,DetonatioN FocusMe,1811,1,14,6,53007,45090,Burning Core
ESPORTSTMNT03/1331290,LJL,2020,3/1/2020 7:38,1,0,Blue,AXIZ,2504,1,10,15,70819,70688,V3 Esports
ESPORTSTMNT03/1331290,LJL,2020,3/1/2020 7:38,1,0,Red,V3 Esports,2504,0,15,10,70688,70819,AXIZ
ESPORTSTMNT02/1287203,LCK,2020,3/1/2020 8:36,2,0,Blue,SeolHaeOne Prince,1964,0,5,16,49473,59142,Gen.G
ESPORTSTMNT02/1287203,LCK,2020,3/1/2020 8:36,2,0,Red,Gen.G,1964,1,16,5,59142,49473,SeolHaeOne Prince
ESPORTSTMNT02/1297234,PCS,2020,3/1/2020 8:56,1,0,Blue,Resurgence,1641,0,4,12,42018,50616,Nova Esports
ESPORTSTMNT02/1297234,PCS,2020,3/1/2020 8:56,1,0,Red,Nova Esports,1641,1,12,4,50616,42018,Resurgence
ESPORTSTMNT03/1331318,LJL,2020,3/1/2020 9:19,1,0,Blue,Sengoku Gaming,2323,1,9,7,71200,61116,DetonatioN FocusMe
ESPORTSTMNT03/1331318,LJL,2020,3/1/2020 9:19,1,0,Red,DetonatioN FocusMe,2323,0,7,9,61116,71200,Sengoku Gaming
ESPORTSTMNT02/1297278,PCS,2020,3/1/2020 9:50,1,0,Blue,J Team,1495,1,24,6,53101,38062,Hong Kong Attitude
ESPORTSTMNT02/1297278,PCS,2020,3/1/2020 9:50,1,0,Red,Hong Kong Attitude,1495,0,6,24,38062,53101,J Team
ESPORTSTMNT02/1297283,VCS,2020,3/1/2020 9:54,1,0,Blue,EVOS Esports,1780,0,5,12,47802,57848,Team Flash
ESPORTSTMNT02/1297283,VCS,2020,3/1/2020 9:54,1,0,Red,Team Flash,1780,1,12,5,57848,47802,EVOS Esports
ESPORTSTMNT06/1170254,TCL,2020,3/1/2020 10:05,1,0,Blue,Galakticos,2111,1,17,10,60393,53433,Beşiktaş Esports
ESPORTSTMNT06/1170254,TCL,2020,3/1/2020 10:05,1,0,Red,Beşiktaş Esports,2111,0,10,17,53433,60393,Galakticos
ESPORTSTMNT02/1287256,LCK,2020,3/1/2020 10:17,1,0,Blue,DRX,2256,1,11,2,70452,56676,Griffin
ESPORTSTMNT02/1287256,LCK,2020,3/1/2020 10:17,1,0,Red,Griffin,2256,0,2,11,56676,70452,DRX
ESPORTSTMNT03/1331336,LJL,2020,3/1/2020 10:43,1,0,Blue,V3 Esports,1766,1,18,5,55413,44041,Fukuoka SoftBank Hawks gaming
ESPORTSTMNT03/1331336,LJL,2020,3/1/2020 10:43,1,0,Red,Fukuoka SoftBank Hawks gaming,1766,0,5,18,44041,55413,V3 Esports
ESPORTSTMNT02/1297303,PCS,2020,3/1/2020 10:46,1,0,Blue,Talon Esports,1956,1,13,9,57553,55595,Liyab Esports
ESPORTSTMNT02/1297303,PCS,2020,3/1/2020 10:46,1,0,Red,Liyab Esports,1956,0,9,13,55595,57553,Talon Esports
ESPORTSTMNT06/1170263,TCL,2020,3/1/2020 11:44,1,0,Blue,Dark Passage,1593,0,5,23,41576,52490,İstanbul Wildcats
ESPORTSTMNT06/1170263,TCL,2020,3/1/2020 11:44,1,0,Red,İstanbul Wildcats,1593,1,23,5,52490,41576,Dark Passage
ESPORTSTMNT02/1287286,LCK,2020,3/1/2020 11:46,2,0,Blue,Griffin,1941,0,7,12,49301,56330,DRX
ESPORTSTMNT02/1287286,LCK,2020,3/1/2020 11:46,2,0,Red,DRX,1941,1,12,7,56330,49301,Griffin
ESPORTSTMNT02/1297312,VCS,2020,3/1/2020 11:49,2,0,Blue,Team Flash,1762,0,6,16,45432,57959,EVOS Esports
ESPORTSTMNT02/1297312,VCS,2020,3/1/2020 11:49,2,0,Red,EVOS Esports,1762,1,16,6,57959,45432,Team Flash
ESPORTSTMNT02/1297316,PCS,2020,3/1/2020 11:53,1,0,Blue,Berjaya Dragons,1729,0,6,23,43687,53511,ahq eSports Club
ESPORTSTMNT02/1297316,PCS,2020,3/1/2020 11:53,1,0,Red,ahq eSports Club,1729,1,23,6,53511,43687,Berjaya Dragons
ESPORTSTMNT03/1331360,LJL,2020,3/1/2020 11:59,1,0,Blue,Crest Gaming Act,2315,0,3,9,58107,68171,Sengoku Gaming
ESPORTSTMNT03/1331360,LJL,2020,3/1/2020 11:59,1,0,Red,Sengoku Gaming,2315,1,9,3,68171,58107,Crest Gaming Act
ESPORTSTMNT03/1321366,HM,2020,3/1/2020 12:28,1,0,Blue,Team Sampi,2308,1,18,12,70239,58422,RAMS
ESPORTSTMNT03/1321366,HM,2020,3/1/2020 12:28,1,0,Red,RAMS,2308,0,12,18,58422,70239,Team Sampi
ESPORTSTMNT06/1170272,LCL,2020,3/1/2020 12:30,1,0,Blue,Elements Pro Gaming,2096,1,13,7,60552,53530,Dragon Army
ESPORTSTMNT06/1170272,LCL,2020,3/1/2020 12:30,1,0,Red,Dragon Army,2096,0,7,13,53530,60552,Elements Pro Gaming
ESPORTSTMNT06/1170273,TCL,2020,3/1/2020 12:42,1,0,Blue,5 Ronin,1981,0,8,10,54175,57958,1907 Fenerbahçe Esports
ESPORTSTMNT06/1170273,TCL,2020,3/1/2020 12:42,1,0,Red,1907 Fenerbahçe Esports,1981,1,10,8,57958,54175,5 Ronin
ESPORTSTMNT02/1297326,VCS,2020,3/1/2020 12:45,3,0,Blue,EVOS Esports,1380,0,2,12,34355,48180,Team Flash
ESPORTSTMNT02/1297326,VCS,2020,3/1/2020 12:45,3,0,Red,Team Flash,1380,1,12,2,48180,34355,EVOS Esports
ESPORTSTMNT02/1297328,PCS,2020,3/1/2020 13:02,1,0,Blue,Machi Esports,1743,0,3,12,44312,54885,Talon Esports
ESPORTSTMNT02/1297328,PCS,2020,3/1/2020 13:02,1,0,Red,Talon Esports,1743,1,12,3,54885,44312,Machi Esports
ESPORTSTMNT03/1331375,LJL,2020,3/1/2020 13:07,1,0,Blue,Crest Gaming Act,2341,1,18,6,73487,60612,Fukuoka SoftBank Hawks gaming
ESPORTSTMNT03/1331375,LJL,2020,3/1/2020 13:07,1,0,Red,Fukuoka SoftBank Hawks gaming,2341,0,6,18,60612,73487,Crest Gaming Act
ESPORTSTMNT06/1170291,TCL,2020,3/1/2020 13:43,1,0,Blue,Royal Youth,1573,0,3,14,37901,50186,SuperMassive Esports
ESPORTSTMNT06/1170291,TCL,2020,3/1/2020 13:43,1,0,Red,SuperMassive Esports,1573,1,14,3,50186,37901,Royal Youth
ESPORTSTMNT06/1160283,LCL,2020,3/1/2020 13:55,1,0,Blue,CrowCrowd,2092,0,6,22,55567,67765,RoX
ESPORTSTMNT06/1160283,LCL,2020,3/1/2020 13:55,1,0,Red,RoX,2092,1,22,6,67765,55567,CrowCrowd
ESPORTSTMNT02/1297350,VCS,2020,3/1/2020 14:05,1,0,Blue,CERBERUS Esports,1723,0,10,24,45140,59232,GAM Esports
ESPORTSTMNT02/1297350,VCS,2020,3/1/2020 14:05,1,0,Red,GAM Esports,1723,1,24,10,59232,45140,CERBERUS Esports
ESPORTSTMNT03/1321391,HM,2020,3/1/2020 14:13,1,0,Blue,Cyber Gaming,1500,1,26,11,52948,38539,Vikingekrig Esports
ESPORTSTMNT03/1321391,HM,2020,3/1/2020 14:13,1,0,Red,Vikingekrig Esports,1500,0,11,26,38539,52948,Cyber Gaming
ESPORTSTMNT02/1297351,VCS,2020,3/1/2020 14:51,2,0,Blue,GAM Esports,2010,1,31,21,65664,56934,CERBERUS Esports
ESPORTSTMNT02/1297351,VCS,2020,3/1/2020 14:51,2,0,Red,CERBERUS Esports,2010,0,21,31,56934,65664,GAM Esports
ESPORTSTMNT06/1160290,LCL,2020,3/1/2020 15:05,1,0,Blue,Vega Squadron,2234,1,23,18,67352,63840,Gambit Esports
ESPORTSTMNT06/1160290,LCL,2020,3/1/2020 15:05,1,0,Red,Gambit Esports,2234,0,17,23,63840,67352,Vega Squadron
ESPORTSTMNT03/1331406,GLL,2020,3/1/2020 15:19,1,0,Blue,Team Refuse,2139,1,31,12,67967,55669,Intrepid Fox Gaming
ESPORTSTMNT03/1331406,GLL,2020,3/1/2020 15:19,1,0,Red,Intrepid Fox Gaming,2139,0,12,31,55669,67967,Team Refuse
ESPORTSTMNT03/1321428,HM,2020,3/1/2020 15:50,1,0,Blue,eSuba,1986,0,3,14,51737,60117,Inside Games
ESPORTSTMNT03/1321428,HM,2020,3/1/2020 15:50,1,0,Red,Inside Games,1986,1,14,3,60117,51737,eSuba
ESPORTSTMNT03/1321435,CBLOL,2020,3/1/2020 15:56,1,0,Blue,Flamengo Esports,1898,1,18,8,59118,48942,paiN Gaming
ESPORTSTMNT03/1321435,CBLOL,2020,3/1/2020 15:56,1,0,Red,paiN Gaming,1898,0,8,18,48942,59118,Flamengo Esports
ESPORTSTMNT06/1160292,LCL,2020,3/1/2020 16:07,1,0,Blue,M19,1682,0,11,21,43560,57920,Unicorns Of Love.CIS
ESPORTSTMNT06/1160292,LCL,2020,3/1/2020 16:07,1,0,Red,Unicorns Of Love.CIS,1682,1,21,11,57920,43560,M19
ESPORTSTMNT03/1331442,CBLOL,2020,3/1/2020 16:53,1,0,Blue,Redemption eSports Porto Alegre,2070,0,18,21,57757,66212,INTZ
ESPORTSTMNT03/1331442,CBLOL,2020,3/1/2020 16:53,1,0,Red,INTZ,2070,1,21,18,66212,57757,Redemption eSports Porto Alegre
ESPORTSTMNT03/1321469,HM,2020,3/1/2020 17:24,1,0,Blue,BRUTE,1922,1,18,4,60625,47451,Flayn eSports CZSK Edition
ESPORTSTMNT03/1321469,HM,2020,3/1/2020 17:24,1,0,Red,Flayn eSports CZSK Edition,1922,0,4,18,47451,60625,BRUTE
ESPORTSTMNT03/1321471,GLL,2020,3/1/2020 17:25,1,0,Blue,Pyrsos Esports,1970,1,28,20,65700,57834,Gamespace Mediterranean College Esports
ESPORTSTMNT03/1321471,GLL,2020,3/1/2020 17:25,1,0,Red,Gamespace Mediterranean College Esports,1970,0,20,28,57834,65700,Pyrsos Esports
ESPORTSTMNT03/1331462,CBLOL,2020,3/1/2020 17:52,1,0,Blue,Vivo Keyd,1990,1,18,8,60284,51293,Prodigy Esports
ESPORTSTMNT03/1331462,CBLOL,2020,3/1/2020 17:52,1,0,Red,Prodigy Esports,1990,0,8,18,51293,60284,Vivo Keyd
ESPORTSTMNT03/1321498,HM,2020,3/1/2020 18:36,1,0,Blue,Team Sampi,1943,1,24,9,64318,49115,Vikingekrig Esports
ESPORTSTMNT03/1321498,HM,2020,3/1/2020 18:36,1,0,Red,Vikingekrig Esports,1943,0,9,24,49115,64318,Team Sampi
ESPORTSTMNT03/1331477,CBLOL,2020,3/1/2020 18:48,1,0,Blue,KaBuM! e-Sports,2439,1,13,7,69332,65163,FURIA Esports
ESPORTSTMNT03/1331477,CBLOL,2020,3/1/2020 18:48,1,0,Red,FURIA Esports,2439,0,7,13,65163,69332,KaBuM! e-Sports
ESPORTSTMNT03/1331501,LCS,2020,3/1/2020 19:26,1,0,Blue,Team Liquid,1741,1,9,0,55070,41356,100 Thieves
ESPORTSTMNT03/1331501,LCS,2020,3/1/2020 19:26,1,0,Red,100 Thieves,1741,0,0,9,41356,55070,Team Liquid
ESPORTSTMNT03/1321539,HM,2020,3/1/2020 19:57,1,0,Blue,BRUTE,2034,0,7,19,51455,61372,Inside Games
ESPORTSTMNT03/1321539,HM,2020,3/1/2020 19:57,1,0,Red,Inside Games,2034,1,19,7,61372,51455,BRUTE
ESPORTSTMNT03/1321543,LLA,2020,3/1/2020 20:03,1,0,Blue,Infinity Esports,1739,1,12,4,53671,41499,XTEN Esports
ESPORTSTMNT03/1321543,LLA,2020,3/1/2020 20:03,1,0,Red,XTEN Esports,1739,0,4,12,41499,53671,Infinity Esports
ESPORTSTMNT03/1331545,LCS,2020,3/1/2020 20:37,1,0,Blue,Dignitas,2242,0,6,17,59006,68133,FlyQuest
ESPORTSTMNT03/1331545,LCS,2020,3/1/2020 20:37,1,0,Red,FlyQuest,2242,1,17,6,68133,59006,Dignitas
ESPORTSTMNT03/1331566,HM,2020,3/1/2020 21:22,1,0,Blue,RAMS,2194,1,19,12,69431,58373,Flayn eSports CZSK Edition
ESPORTSTMNT03/1331566,HM,2020,3/1/2020 21:22,1,0,Red,Flayn eSports CZSK Edition,2194,0,12,19,58373,69431,RAMS
ESPORTSTMNT03/1321580,LLA,2020,3/1/2020 21:38,1,0,Blue,Isurus,1925,1,13,4,62562,49021,Furious Gaming
ESPORTSTMNT03/1321580,LLA,2020,3/1/2020 21:38,1,0,Red,Furious Gaming,1925,0,4,13,49021,62562,Isurus
ESPORTSTMNT03/1331568,LCS,2020,3/1/2020 21:41,1,0,Blue,Counter Logic Gaming,2252,1,12,4,66955,56242,TSM
ESPORTSTMNT03/1331568,LCS,2020,3/1/2020 21:41,1,0,Red,TSM,2252,0,4,12,56242,66955,Counter Logic Gaming
ESPORTSTMNT03/1321596,HM,2020,3/1/2020 22:26,1,0,Blue,eSuba,1606,1,26,6,54889,36887,Cyber Gaming
ESPORTSTMNT03/1321596,HM,2020,3/1/2020 22:26,1,0,Red,Cyber Gaming,1606,0,6,26,36887,54889,eSuba
ESPORTSTMNT03/1321600,LLA,2020,3/1/2020 22:35,1,0,Blue,All Knights,2115,1,18,11,68618,56986,Azules Esports
ESPORTSTMNT03/1321600,LLA,2020,3/1/2020 22:35,1,0,Red,Azules Esports,2115,0,11,18,56986,68618,All Knights
ESPORTSTMNT03/1331601,LCS,2020,3/1/2020 22:42,1,0,Blue,Evil Geniuses,2622,1,20,7,80320,70057,Golden Guardians
ESPORTSTMNT03/1331601,LCS,2020,3/1/2020 22:42,1,0,Red,Golden Guardians,2622,0,7,20,70057,80320,Evil Geniuses
ESPORTSTMNT03/1321624,LLA,2020,3/1/2020 23:32,1,0,Blue,Pixel Esports Club,2171,0,3,17,53026,65234,Rainbow7
