gameid,league,year,date,game,playoffs,side,team,gamelength,result,teamkills,teamdeaths,totalgold,enemy_gold,enemy_team
5659-7259,LPL,2020,1/15/2020 9:22,1,0,Blue,Vici Gaming,1776,0,4,17,45709,59159,Bilibili Gaming
5659-7259,LPL,2020,1/15/2020 9:22,1,0,Red,Bilibili Gaming,1776,1,17,4,59159,45709,Vici Gaming
5659-7260,LPL,2020,1/15/2020 10:16,2,0,Blue,Bilibili Gaming,2650,0,11,12,76394,78662,Vici Gaming
5659-7260,LPL,2020,1/15/2020 10:16,2,0,Red,Vici Gaming,2650,1,12,11,78662,76394,Bilibili Gaming
5659-7261,LPL,2020,1/15/2020 11:20,3,0,Blue,Vici Gaming,2128,0,7,17,56814,66008,Bilibili Gaming
5659-7261,LPL,2020,1/15/2020 11:20,3,0,Red,Bilibili Gaming,2128,1,17,7,66008,56814,Vici Gaming
5660-7262,LPL,2020,1/15/2020 12:30,1,0,Blue,Invictus Gaming,1426,1,14,2,47329,35712,Dominus Esports
5660-7262,LPL,2020,1/15/2020 12:30,1,0,Red,Dominus Esports,1426,0,2,14,35712,47329,Invictus Gaming
5660-7263,LPL,2020,1/15/2020 13:19,2,0,Blue,Dominus Esports,1710,0,8,13,45493,53856,Invictus Gaming
5660-7263,LPL,2020,1/15/2020 13:19,2,0,Red,Invictus Gaming,1710,1,13,8,53856,45493,Dominus Esports
5661-7265,LPL,2020,1/16/2020 9:41,1,0,Blue,Victory Five,1645,0,1,24,40521,53681,EDward Gaming
5661-7265,LPL,2020,1/16/2020 9:41,1,0,Red,EDward Gaming,1645,1,24,1,53681,40521,Victory Five
5661-7266,LPL,2020,1/16/2020 10:33,2,0,Blue,Victory Five,2484,0,4,25,65871,77400,EDward Gaming
5661-7266,LPL,2020,1/16/2020 10:33,2,0,Red,EDward Gaming,2484,1,25,5,77400,65871,Victory Five
5662-7264,LPL,2020,1/16/2020 11:47,1,0,Blue,Rogue Warriors,2436,1,18,19,71903,62338,Suning
5662-7264,LPL,2020,1/16/2020 11:47,1,0,Red,Suning,2436,0,19,18,62338,71903,Rogue Warriors
5662-7267,LPL,2020,1/16/2020 12:49,2,0,Blue,Suning,2097,0,11,12,53707,60462,Rogue Warriors
5662-7267,LPL,2020,1/16/2020 12:49,2,0,Red,Rogue Warriors,2097,1,12,11,60462,53707,Suning
5663-7268,LPL,2020,1/17/2020 9:20,1,0,Blue,FunPlus Phoenix,2575,0,10,22,69346,79084,eStar
5663-7268,LPL,2020,1/17/2020 9:20,1,0,Red,eStar,2575,1,22,10,79084,69346,FunPlus Phoenix
5663-7269,LPL,2020,1/17/2020 10:25,2,0,Blue,FunPlus Phoenix,2343,1,26,15,73964,66996,eStar
5663-7269,LPL,2020,1/17/2020 10:25,2,0,Red,eStar,2343,0,15,26,66996,73964,FunPlus Phoenix
5663-7270,LPL,2020,1/17/2020 11:25,3,0,Blue,eStar,1617,1,23,11,53710,44685,FunPlus Phoenix
5663-7270,LPL,2020,1/17/2020 11:25,3,0,Red,FunPlus Phoenix,1617,0,11,23,44685,53710,eStar
5664-7277,LPL,2020,1/17/2020 12:22,1,0,Blue,LNG Esports,1961,0,10,19,52969,61654,Top Esports
5664-7277,LPL,2020,1/17/2020 12:22,1,0,Red,Top Esports,1961,1,19,10,61654,52969,LNG Esports
5664-7271,LPL,2020,1/17/2020 13:16,2,0,Blue,Top Esports,1830,1,13,6,55311,46147,LNG Esports
5664-7271,LPL,2020,1/17/2020 13:16,2,0,Red,LNG Esports,1830,0,6,13,46147,55311,Top Esports
5665-7276,LPL,2020,1/18/2020 9:40,1,0,Blue,JD Gaming,1653,1,18,5,54575,41046,Team WE
5665-7276,LPL,2020,1/18/2020 9:40,1,0,Red,Team WE,1653,0,5,18,41046,54575,JD Gaming
5665-7272,LPL,2020,1/18/2020 10:33,2,0,Blue,Team WE,1726,0,3,23,43317,57406,JD Gaming
5665-7272,LPL,2020,1/18/2020 10:33,2,0,Red,JD Gaming,1726,1,23,3,57406,43317,Team WE
5666-7273,LPL,2020,1/18/2020 11:22,1,0,Blue,Bilibili Gaming,1856,0,6,18,48983,58018,Royal Never Give Up
5666-7273,LPL,2020,1/18/2020 11:22,1,0,Red,Royal Never Give Up,1856,1,18,6,58018,48983,Bilibili Gaming
5666-7274,LPL,2020,1/18/2020 12:14,2,0,Blue,Royal Never Give Up,2909,0,1,7,74845,85554,Bilibili Gaming
5666-7274,LPL,2020,1/18/2020 12:14,2,0,Red,Bilibili Gaming,2909,1,7,1,85554,74845,Royal Never Give Up
5666-7275,LPL,2020,1/18/2020 13:23,3,0,Blue,Bilibili Gaming,2162,1,18,7,63276,54504,Royal Never Give Up
5666-7275,LPL,2020,1/18/2020 13:23,3,0,Red,Royal Never Give Up,2162,0,7,18,54504,63276,Bilibili Gaming
ESPORTSTMNT03/1310083,LPLOL,2020,1/18/2020 17:39,1,0,Blue,Boavista FC,1922,1,22,7,62812,48905,Estoril Praia eSports
ESPORTSTMNT03/1310083,LPLOL,2020,1/18/2020 17:39,1,0,Red,Estoril Praia eSports,1922,0,7,22,48905,62812,Boavista FC
ESPORTSTMNT03/1300100,LPLOL,2020,1/18/2020 19:17,1,0,Blue,For The Win Esports,2196,1,17,5,64857,55032,EGN Esports
ESPORTSTMNT03/1300100,LPLOL,2020,1/18/2020 19:17,1,0,Red,EGN Esports,2196,0,5,17,55032,64857,For The Win Esports
ESPORTSTMNT03/1310118,LPLOL,2020,1/18/2020 20:51,1,0,Blue,Cidade Curiosa Esports,2187,1,10,6,62006,56140,SAMCLAN Esports Club
ESPORTSTMNT03/1310118,LPLOL,2020,1/18/2020 20:51,1,0,Red,SAMCLAN Esports Club,2187,0,6,10,56140,62006,Cidade Curiosa Esports
ESPORTSTMNT03/1310152,LPLOL,2020,1/18/2020 22:23,1,0,Blue,GeekCase eSports,1845,0,6,23,45537,59380,GTZ Bulls
ESPORTSTMNT03/1310152,LPLOL,2020,1/18/2020 22:23,1,0,Red,GTZ Bulls,1845,1,23,6,59380,45537,GeekCase eSports
5667-7278,LPL,2020,1/19/2020 9:23,1,0,Blue,Vici Gaming,1971,0,5,11,51942,60777,Dominus Esports
5667-7278,LPL,2020,1/19/2020 9:23,1,0,Red,Dominus Esports,1971,1,11,5,60777,51942,Vici Gaming
5667-7279,LPL,2020,1/19/2020 10:23,2,0,Blue,Vici Gaming,2122,1,16,9,67865,61108,Dominus Esports
5667-7279,LPL,2020,1/19/2020 10:23,2,0,Red,Dominus Esports,2122,0,9,16,61108,67865,Vici Gaming
5667-7280,LPL,2020,1/19/2020 11:22,3,0,Blue,Vici Gaming,2087,1,13,11,64225,57571,Dominus Esports
5667-7280,LPL,2020,1/19/2020 11:22,3,0,Red,Dominus Esports,2087,0,11,13,57571,64225,Vici Gaming
